d1,d2,d3,l
6,168,255,4
5,161,255,4
7,166,255,4
6,164,255,4
6,169,255,4
3,178,189,4
5,149,255,4
5,178,255,4
6,162,255,4
5,198,255,4
6,168,255,4
6,166,255,4
6,175,255,4
5,169,255,4
2,204,255,4
5,192,255,4
5,202,255,4
4,194,177,4
4,200,192,4
6,145,255,4
5,141,255,4
6,174,255,4
6,179,255,4
5,171,255,4
5,177,255,4
6,164,255,4
4,192,255,4
5,164,255,4
6,163,255,4
6,167,255,4
3,203,255,4
4,194,255,4
3,197,210,4
4,202,191,4
3,196,219,4
4,200,197,4
4,195,255,4
6,162,255,4
2,206,255,4
6,159,255,4
3,192,221,4
5,167,255,4
5,160,255,4
3,203,239,4
5,201,255,4
6,167,255,4
6,172,255,4
6,175,255,4
5,205,255,4
5,200,255,4
4,195,204,4
4,186,255,4
3,202,197,4
3,198,198,4
3,198,221,4
4,193,255,4
5,205,255,4
3,186,193,4
3,191,200,4
4,204,255,4
4,195,255,4
4,192,202,4
5,200,255,4
4,202,255,4
4,191,255,4
3,199,201,4
5,204,255,4
4,202,255,4
4,202,160,4
3,190,255,4
4,195,255,4
4,195,255,4
5,181,255,4
5,182,254,4
4,190,181,4
3,204,239,4
5,190,255,4
4,198,193,4
6,176,255,4
4,197,194,4
3,199,224,4
5,157,226,4
5,191,135,4
4,204,146,4
3,197,163,4
4,182,255,4
4,204,255,4
5,210,255,4
4,195,255,4
6,166,255,4
3,195,208,4
4,196,255,4
5,202,255,4
6,167,255,4
4,194,223,4
5,164,255,4
5,173,255,4
6,160,255,4
4,192,255,4
4,193,205,4
6,158,255,4
4,196,207,4
4,187,212,4
4,196,196,4
4,193,255,4
4,195,255,4
6,165,255,4
4,188,255,4
6,166,255,4
6,171,255,4
5,168,255,4
6,173,255,4
6,171,255,4
4,194,178,4
4,190,202,4
4,203,188,4
4,200,194,4
4,189,255,4
6,163,255,4
6,161,255,4
4,195,255,4
3,193,204,4
6,161,255,4
4,189,212,4
3,200,207,4
4,193,255,4
6,164,255,4
5,145,255,4
6,163,255,4
6,169,255,4
4,203,255,4
3,185,211,4
3,198,212,4
4,186,205,4
5,192,255,4
6,172,255,4
4,195,255,4
6,169,255,4
5,165,255,4
6,170,255,4
6,170,255,4
6,164,255,4
6,173,255,4
4,202,255,4
5,175,255,4
4,194,255,4
4,201,195,4
4,193,255,4
3,199,224,4
6,168,255,4
4,202,192,4
6,171,255,4
5,186,255,4
4,192,255,4
5,197,255,4
4,195,255,4
6,169,255,4
6,167,255,4
4,198,255,4
6,165,255,4
3,191,188,4
4,192,207,4
5,171,255,4
6,166,255,4
6,169,255,4
104,179,180,5
108,233,106,5
107,218,102,5
108,226,109,5
104,206,199,5
109,211,119,5
108,220,109,5
104,185,187,5
108,212,150,5
108,221,149,5
110,207,169,5
109,234,156,5
104,201,197,5
108,201,147,5
109,218,175,5
106,216,98,5
103,202,178,5
107,223,99,5
109,202,149,5
104,202,196,5
105,197,198,5
108,207,111,5
109,235,146,5
103,202,197,5
104,200,208,5
108,216,146,5
108,218,157,5
108,211,158,5
104,197,206,5
108,192,155,5
107,196,114,5
107,204,110,5
103,203,175,5
108,212,156,5
108,208,150,5
108,211,157,5
107,204,114,5
108,211,155,5
107,221,141,5
